,neighbors,chemical_shift
325,"[['C', 1.3387526715899138, 0.203321, 6, 2.55, 12]]",352.212
326,"[['C', 1.34719866319135, 0.124197, 6, 2.55, 12]]",298.386
327,"[['C', 1.3505366048443679, 0.434233, 6, 2.55, 12]]",284.1
328,"[['C', 1.3461867268689465, 0.434233, 6, 2.55, 12]]",261.743
329,"[['C', 1.3452601193796514, 0.434233, 6, 2.55, 12]]",263.931
330,"[['C', 1.3460669385921027, 0.123443, 6, 2.55, 12]]",290.151
331,"[['P', 1.6784673023337031, 0.623462, 15, 2.19, 31]]",248.469
332,"[['P', 1.6582297445350052, 0.623462, 15, 2.19, 31]]",252.612
333,"[['P', 1.6127987913632902, 0.623462, 15, 2.19, 31]]",260.028
334,"[['P', 1.6186375107155675, 0.623462, 15, 2.19, 31]]",256.865
335,"[['P', 1.6211854375184023, 0.623462, 15, 2.19, 31]]",258.477
336,"[['P', 1.6525799868761994, 0.623462, 15, 2.19, 31]]",252.88
337,"[['C', 1.362219206779663, 0.0, 6, 2.55, 12]]",267.967
338,"[['C', 1.3628295502514323, 0.0, 6, 2.55, 12]]",267.381
339,"[['C', 1.3620424064379317, 0.0, 6, 2.55, 12]]",268.027
